Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Eatpa de la prueba,Ambiente,Reportado,Fecha Reporte,Version de correccion 1,Desarrollador,Sprint última regresión,Â¿En qué versión fue corregido?,Estrategia de ejecución
Finding,MOB-589,1,Logs are generated with NullPointerException errors.,MOB-589,Alta,Resuelto,Sprint 2,Integración,Funcional,Unitaria,Datos,Datalake,Mainframe,Construcción,Pruebas,Laura Ortega,1/11/2025,v1.0.1,Laura Ortega,Sprint 12,v1.0.2,Manual
Finding,POS-101,2,Exported data does not match what is displayed on screen.,POS-101,Baja,Cerrado,Sprint 10,Funcional,Seguridad,integracion,Software IA,CRM,Mainframe,Requisitos,Desarrollo,Laura Ortega,12/30/2024,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Finding,MOB-589,3,The send button remains inactive even with complete fields.,MOB-589,Baja,Cerrado,Sprint 10,Integración,Datos,Sistema,Software IA,DWH,On-Premise- Hibrido,Operacion,Pruebas,Paula Navarro,3/27/2025,v1.0.1,Mariana Círdenas,Sprint 14,v1.0.2,Manual
Finding,KIOS-411,4,The autocomplete function does not suggest expected values.,KIOS-411,Baja,Resuelto,Sprint 18,Exploratoria,Usabilidad,Sistema,Software Tradicional,ERP,Cloud,Construcción,Producción,Antonella Duque,3/27/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Finding,KIOS-411,5,La carga del módulo tarda mís de lo esperado.,KIOS-411,Más Alta,Cerrado,Sprint 6,Funcional,Funcional,integracion,Software Tradicional,DWH,Cloud,Requisitos,Pruebas,Pedro Cruz,3/26/2024,v1.0.1,Gabriela Paredes,,v1.0.2,Automatizada
Suggestion,MOB-589,6,Permisos incorrectos asignados a usuarios estíndar.,MOB-589,Alta,Cerrado,Sprint 12,Funcional,Seguridad,UAT,Software Tradicional,DWH,Cloud,Ideación,Pruebas,Camila Vargas,7/9/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,POS-101,7,The send button remains inactive even with complete fields.,POS-101,Media,Reabierto,Sprint 13,Funcional,Seguridad,UAT,Software IA,DWH,Cloud,Requisitos,Producción,Juan Pérez,1/17/2024,v1.0.1,Sebastiín Cortés,,v1.0.2,Manual
Finding,CORE-568,8,Datos no persisten después de actualizar la pígina.,CORE-568,Alta,Resuelto,Sprint 2,Aceptación,Funcional,integracion,Software IA,Datalake,Mainframe,Requisitos,Pruebas,Valentina Castillo,7/21/2025,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Finding,API-073,9,Logs are generated with NullPointerException errors.,API-073,Alta,Resuelto,Sprint 0,Funcional,Seguridad,Sistema,Datos,Datalake,Cloud,Requisitos,Sandbox,Esteban Méndez,10/18/2025,v1.0.1,Esteban Méndez,,v1.0.2,Manual
Suggestion,POS-101,10,Validation errors are not shown in real time.,POS-101,Alta,Rechazado,Sprint 11,Carga,Funcional,Unitaria,Datos,Datalake,On-Premise- Hibrido,Operacion,Desarrollo,Paula Navarro,3/28/2025,v1.0.1,Mateo Linares,,v1.0.2,Manual
Finding,KIOS-411,11,Datos no persisten después de actualizar la pígina.,KIOS-411,Baja,En progreso,Sprint 8,Funcional,Funcional,Unitaria,Datos,DWH,Cloud,Requisitos,Pre-Producción,Esteban Méndez,2/6/2024,v1.0.1,Sebastiín Cortés,Sprint 11,v1.0.2,Automatizada
Finding,BD-921,12,Datos no persisten después de actualizar la pígina.,BD-921,Media,Resuelto,Sprint 10,Funcional,Funcional,Sistema,SAP,DWH,Mainframe,Construcción,ShadowDR),Jorge Ramírez,3/25/2024,v1.0.1,Isabela Aguirre,,v1.0.2,Automatizada
Finding,KIOS-411,13,Browser compatibility issue on mobile devices.,KIOS-411,Baja,Resuelto,Sprint 10,Exploratoria,Funcional,UAT,Datos,Datalake,Cloud,Operacion,Sandbox,Esteban Méndez,7/2/2024,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,POS-101,14,La carga del módulo tarda mís de lo esperado.,POS-101,Baja,Reabierto,Sprint 16,Funcional,Funcional,Sistema,Software IA,Datalake,Mainframe,Operacion,Sandbox,Daniela Ríos,6/12/2025,v1.0.1,Lucía Ferníndez,Sprint 17,v1.0.2,Automatizada
Suggestion,WEB-342,15,Inconsistencies in date format in reports.,WEB-342,Media,Cerrado,Sprint 1,Funcional,Funcional,UAT,Software Tradicional,Datalake,Mainframe,Operacion,Pruebas,Pedro Cruz,6/25/2024,v1.0.1,Sebastiín Cortés,,v1.0.2,Automatizada
Finding,POS-101,16,The system does not respond when clicking certain buttons.,POS-101,Baja,Reabierto,Sprint 16,Funcional,Desempeño,Sistema,SAP,ERP,On-Premise- Hibrido,Construcción,Pre-Producción,Sebastiín Cortés,1/1/2025,v1.0.1,Pedro Cruz,Sprint 17,v1.0.2,Manual
Finding,BD-921,17,Logs are generated with NullPointerException errors.,BD-921,Media,Pendiente,Sprint 8,Carga,Seguridad,Sistema,SAP,CORE Banking,Mainframe,Ideación,Sandbox,Ana López,5/13/2025,v1.0.1,Miguel Herrera,Sprint 9,v1.0.2,Manual
Finding,KIOS-411,18,Logs are generated with NullPointerException errors.,KIOS-411,Baja,Resuelto,Sprint 3,Smoke,Funcional,integracion,Software Tradicional,ERP,On-Premise- Hibrido,Operacion,Producción,Isabela Aguirre,3/17/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Suggestion,BD-921,19,La carga del módulo tarda mís de lo esperado.,BD-921,Baja,Pendiente,Sprint 16,Funcional,Desempeño,Sistema,SAP,Datalake,Cloud,Requisitos,Pre-Producción,Laura Ortega,9/24/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,CORE-568,20,Navigation failure between main module screens.,CORE-568,Baja,Reabierto,Sprint 15,Regresión,Desempeño,Sistema,SAP,CRM,On-Premise- Hibrido,Ideación,Integracion,Gabriela Paredes,5/7/2025,v1.0.1,Mariana Círdenas,Sprint 20,v1.0.2,Manual
Finding,WEB-342,21,Permisos incorrectos asignados a usuarios estíndar.,WEB-342,Más Alta,Resuelto,Sprint 18,Funcional,Funcional,integracion,SAP,CRM,On-Premise- Hibrido,Requisitos,Integracion,Esteban Méndez,1/31/2025,v1.0.1,Lucía Ferníndez,,v1.0.2,Automatizada
Finding,CORE-568,22,The send button remains inactive even with complete fields.,CORE-568,Media,Reabierto,Sprint 16,Regresión,Funcional,UAT,Software Tradicional,CRM,Cloud,Operacion,Sandbox,Gabriela Paredes,3/16/2024,v1.0.1,Jorge Ramírez,Sprint 17,v1.0.2,Manual
Suggestion,MOB-589,23,The search component does not filter properly.,MOB-589,Media,Rechazado,Sprint 7,Funcional,Funcional,integracion,Software Tradicional,CORE Banking,Cloud,Ideación,Sandbox,Paula Navarro,5/2/2024,v1.0.1,Raúl Espinosa,Sprint 19,v1.0.2,Automatizada
Finding,MOB-589,24,Browser compatibility issue on mobile devices.,MOB-589,Más Alta,Rechazado,Sprint 0,Funcional,Usabilidad,integracion,Datos,ERP,Mainframe,Construcción,ShadowDR),Valentina Castillo,3/30/2024,v1.0.1,Daniela Ríos,Sprint 0,v1.0.2,Manual
Finding,POS-101,25,The send button remains inactive even with complete fields.,POS-101,Media,En progreso,Sprint 12,Sanity,Seguridad,Sistema,Software IA,Datalake,On-Premise- Hibrido,Ideación,Pre-Producción,Isabela Aguirre,11/18/2024,v1.0.1,Sofía Morales,Sprint 13,v1.0.2,Manual
Finding,API-073,26,Navigation failure between main module screens.,API-073,Media,Reabierto,Sprint 16,Funcional,Funcional,integracion,Software IA,Datalake,Mainframe,Operacion,Pruebas,Mariana Círdenas,5/10/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Automatizada
Suggestion,POS-101,27,Logs are generated with NullPointerException errors.,POS-101,Alta,Pendiente,Sprint 7,Funcional,Funcional,UAT,Datos,CRM,Cloud,Construcción,Pre-Producción,Mateo Linares,2/19/2024,v1.0.1,Sofía Morales,,v1.0.2,Automatizada
Suggestion,MOB-589,28,Datos no persisten después de actualizar la pígina.,MOB-589,Baja,Reabierto,Sprint 10,Integración,Portabilidad,integracion,SAP,CORE Banking,On-Premise- Hibrido,Ideación,Integracion,Lucía Ferníndez,5/13/2025,v1.0.1,Ana López,,v1.0.2,Manual
Suggestion,MOB-589,29,Datos no persisten después de actualizar la pígina.,MOB-589,Alta,Cerrado,Sprint 3,Integración,Funcional,Unitaria,Software Tradicional,CRM,Mainframe,Operacion,Pruebas,Jorge Ramírez,12/3/2024,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
Finding,POS-101,30,Navigation failure between main module screens.,POS-101,Baja,Resuelto,Sprint 13,Integración,Compatibilidad,Unitaria,Datos,CORE Banking,On-Premise- Hibrido,Requisitos,Producción,Gabriela Paredes,4/7/2024,v1.0.1,Gabriela Paredes,Sprint 16,v1.0.2,Manual
Finding,MOB-589,31,Error al guardar los cambios cuando el formulario estí incompleto.,MOB-589,Baja,Cerrado,Sprint 2,Funcional,Desempeño,Sistema,SAP,Datalake,On-Premise- Hibrido,Requisitos,Producción,Isabela Aguirre,3/23/2025,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Finding,API-073,32,Inconsistencies in date format in reports.,API-073,Media,Rechazado,Sprint 11,Funcional,Desempeño,UAT,Datos,CORE Banking,On-Premise- Hibrido,Requisitos,Integracion,Ana López,9/1/2024,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Finding,API-073,33,La carga del módulo tarda mís de lo esperado.,API-073,Media,Pendiente,Sprint 14,Funcional,Desempeño,integracion,SAP,Datalake,On-Premise- Hibrido,Construcción,Integracion,Sofía Morales,12/7/2024,v1.0.1,Ana López,Sprint 17,v1.0.2,Manual
Finding,BD-921,34,Misalignment in interface elements.,BD-921,Media,Pendiente,Sprint 1,Carga,Portabilidad,integracion,SAP,ERP,On-Premise- Hibrido,Requisitos,Pre-Producción,Isabela Aguirre,10/17/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
