Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Etapa de la prueba,Ambiente,Reportado,Fecha Reporte,Versión de corrección 1,Desarrollador,Sprint última regresión,En qué versión fue corregido?,Estrategia de ejecución
Story,TECH-2154,471068,"Add a check to prevent duplicate submissions of the DLI grid, so that the system blocks new submissions when one is already present.",,Trivial,To Do,Sprint 167: 1/8/26 - 1/21/26,System,,,Add,DLI,,,,Annie Wendel,1/12/2026 12:18,v1.0,Yun Ju Lee,,v1.0,Manual
Story,TECH-2153,471000,CLONE - Update spelling mistake,,Trivial,In Development,Sprint 167: 1/8/26 - 1/21/26,,,,CLONE,Update spelling mistake,,,,Mark Dulsky,1/9/2026 17:48,v7,Rohan Gandhi,,v7,Manual
Test Execution,TECH-2152,470928,Patching Testing on Prod,,Trivial,Done,Sprint 167: 1/8/26 - 1/21/26,,,,Patching Testing on Prod,,,,,Valentina Lorusso,1/9/2026 10:23,v1.0,Valentina Lorusso,,v1.0,Manual
Story,TECH-2151,470787,CLONE - Billing rate on 2nd ILS from UR when customer has discounted rates,,Trivial,To Do,Sprint 167: 1/8/26 - 1/21/26,,,,CLONE,,,,,Mark Dulsky,1/7/2026 19:47,v1.0,Rohan Gandhi,,v1.0,Manual
Bug,TECH-2150,470713,Clever - Test Window Screen - Inconsistent Font Sizes in Test Window Screen,,Trivial,To Do,Sprint 166: 12/24/25 - 1/7/26,,Functional,,Clever,Test Window Screen,,,,Valentina Lorusso,1/6/2026 17:25,v1.0,Vijay Damania,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Bug,TECH-2149,470633,Clever - AAPPL Testing Window -  Screen/Menu label incorrectly limited to AAPPL,,Trivial,In Development,Sprint 166: 12/24/25 - 1/7/26,,Functional,,Clever,AAPPL Testing Window,Screen,,,Valentina Lorusso,1/5/2026 17:02,v1.0,Vijay Damania,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Story,TECH-2148,470630,"As LTI Sales, I want to access a report with the failed emails from the nightly dormant account process so that I can reach out if there's potential to reestablish business.",,Trivial,To Do,Sprint 166: 12/24/25 - 1/7/26,,,,As LTI Sales,,,,,Annie Wendel,1/5/2026 16:36,v1.0,Rohan Gandhi,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Task,TECH-2147,470622,Grade-u-lator: Import process to set a sequential order for files being imported,,Trivial,In Development,Sprint 166: 12/24/25 - 1/7/26,,,,Grade,lator,,,,Vijay Damania,1/5/2026 14:22,v1.0,Stephen Benavides,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Test Execution,TECH-2146,470555,Test Execution for TECH-2019,,Trivial,To Do,,,,,Test Execution for TECH,2019,,,,Yun Ju Lee,1/5/2026 7:13,v1.0,Yun Ju Lee,,v1.0,Manual
Test,TECH-2145,470554,Test CLONE - Question about Folder ID  for the Machine Scoring Project,,Trivial,Done,,,,,Test CLONE,,,,,Yun Ju Lee,1/5/2026 7:12,v1.0,Yun Ju Lee,,v1.0,Manual
